University,First Name,Last Name,Email,Gender ,Status,Graduation Year,Country of Origin,Current Country,Current City,Occupation,Company,Highest Level of Education
UW-Whitewater,William,Piper,william.piper@yahoo.com,Male,Exchange,2009,Spain,Spain,Paterna de Rivera,Aeronautical & Aerospace Engineer,Home Properties Of Newark,Bachelor
UW-Whitewater,Matt,Carr,matt.carr@yahoo.com,Male,Exchange,2015,Spain,Spain,Algue–a,Aerospace Engineering Technician,Nanodrop Technologies,MBA
UW-Whitewater,John,Langdon,john.langdon@yahoo.com,Male,Exchange,2012,Greenland,Greenland,Qaanaaq,Agricultural Crop Farm Manager,Serenity Day Spa,MBA
UW-Whitewater,Liam,Morrison,liam.morrison@yahoo.com,Male,Exchange,2014,Hungary,Hungary,Simonfa,Aircraft Body and Bonded Structure Repairer,Delaware Preservation Fund Inc,MBA
UW-Whitewater,Kevin,Peake,kevin.peake@yahoo.com,Male,Exchange,2015,Greenland,Greenland,Constable Pynt,Aircraft Cargo Handling Supervisor,Amish Furniture,MBA
UW-Whitewater,Joshua,Davies,joshua.davies@yahoo.com,Male,Exchange,2001,Sweden,Sweden,MORJ€RV,Aircraft Examiner,Colonial East Mfr Home Sales,MBA
UW-Whitewater,Sebastian,Churchill,sebastian.churchill@yahoo.com,Male,International Student,2001,Slovenia,Slovenia,_marje,Aircraft Launch and Recovery Officer,Delmarva Temporary Staffing,MBA
UW-Whitewater,James,Oliver,james.oliver@yahoo.com,Male,International Student,2005,Belgium,Belgium,Piringen,Aircraft Launch and Recovery Specialist,Out & About Magazine,MBA
UW-Whitewater,Joseph,Peters,joseph.peters@yahoo.com,Male,International Student,2006,Canada,Canada,North Bay,Athletic Trainer,Ed Hileman Drywall Inc,Bachelor
UW-Whitewater,Lucas,Anderson,lucas.anderson@yahoo.com,Male,International Student,2009,Netherlands,Netherlands,Harderwijk,ATM Machine Servicer,William Lewis Elementary Schl,Bachelor
UW-Whitewater,Eric,Peake,eric.peake@yahoo.com,Male,International Student,2009,Slovenia,Slovenia,Koprivnica,Atmospheric and Space Scientist,Techclean Mid-Atlantic LLC,Ph.D
UW-Whitewater,Kevin,Martin,kevin.martin@yahoo.com,Male,International Student,2009,Netherlands,Netherlands,Nijkerk,Audio-Visual Collections Specialist,Commonwealth Construction,Bachelor
UW-Whitewater,Stephen,Marshall,stephen.marshall@yahoo.com,Male,Exchange,2009,Australia,Australia,RYDAL,Audiovisual Production Specialist,Premier Centre For The Arts,Bachelor
UW-Whitewater,Liam,Terry,liam.terry@yahoo.com,Male,International Student,2009,South Africa,South Africa,Pietersburg,Automobile Mechanic,Halko Manufacturing Co,Bachelor
UW-Whitewater,Jennifer,Morgan,jennifer.morgan@yahoo.com,Female,International Student,2002,Hungary,Hungary,…regcsert™,Automotive Body Repairer,Covey's Car Care,Bachelor
UW-Whitewater,Stephanie,Vaughan,stephanie.vaughan@yahoo.com,Female,International Student,2015,Poland,Poland,Sopot,Automotive Engineer,Market Street Pharmacy,MBA
UW-Whitewater,Carolyn,Peake,carolyn.peake@yahoo.com,Female,Visiting Student,2015,South Africa,South Africa,Pietermaritzburg,Mechanical Engineering Technician,Elsmere Liquors,MBA
UW-Whitewater,Rose,Taylor,rose.taylor@yahoo.com,Female,International Student,2008,Austria,Austria,TSCHRIETES,Mechanical Inspector,LA Posada Ministry,MBA
UW-Whitewater,Bernadette,Sutherland,bernadette.sutherland@yahoo.com,Female,International Student,2006,Canada,Canada,Toronto,Medical Administrative Assistant,Byron Epp Inc,MBA
UW-Whitewater,Melanie,Simpson,melanie.simpson@yahoo.com,Female,Visiting Student,2001,Switzerland,Switzerland,Maloja,Medical and Public Health Social Workers,Quilted Daisy,MBA
UW-Whitewater,Ella,Ellison,ella.ellison@yahoo.com,Female,International Student,2015,South Africa,South Africa,Giyani,Medical and Scientific Illustrator,Selkirk Automated Postal Svc,MBA
UW-Whitewater,Olivia,Young,olivia.young@yahoo.com,Female,International Student,2004,Netherlands,Netherlands,Druten,Medical Appliance Technician,Environmental Protection Agcy,MBA
UW-Whitewater,Bella,Piper,bella.piper@yahoo.com,Female,Visiting Student,2008,Brazil,Brazil,Araras,Medical Assistant,Head Start Grangeville,MBA
UW-Whitewater,Irene,Sanderson,irene.sanderson@yahoo.com,Female,International Student,2016,Finland,Finland,KONTIOLAHTI,Medical Equipment Preparer,Dustin'Time Inc,MBA
UW-Whitewater,Jessica,MacDonald,jessica.macdonald@yahoo.com,Female,Visiting Student,2016,Denmark,Denmark,Varde,Law Clerks,Ivey & Bauer,MBA
UW-Whitewater,Claire,Ball,claire.ball@yahoo.com,Female,International Student,2015,Switzerland,Switzerland,Daillens,Law Professor,Office Max,Bachelor
UW-Whitewater,Bernadette,Poole,bernadette.poole@yahoo.com,Female,Exchange,2008,Brazil,Brazil,S‹o Paulo,Legal Assistant,Adolescent & Family Therapy,Bachelor
UW-Whitewater,Madeleine,Clarkson,madeleine.clarkson@yahoo.com,Female,International Student,2008,Estonia,Estonia,Koeru,Legal Secretary,Republic Mortgage Corp,Bachelor
UW-Whitewater,Emma,Lambert,emma.lambert@yahoo.com,Female,International Student,2008,France,France,SAINTE-MARIE,Legislative Assistant,Salvation Army,Bachelor
UW-Whitewater,Jane,Simpson,jane.simpson@yahoo.com,Female,Exchange,2008,Czech Republic,Czech Republic,Luhacovice,Library Assistant,TNT Fireworks,Bachelor
UW-Whitewater,Penelope,Taylor,penelope.taylor@yahoo.com,Female,International Student,2008,Finland,Finland,LAPPEENRANTA,Library Consultant,Shaklee Distributor,Bachelor
UW-Whitewater,Diane,Roberts,diane.roberts@yahoo.com,Female,International Student,2004,Belgium,Belgium,Hives,Library Science Professor,LTD Plumbing,Bachelor
UW-Whitewater,Joan,Pullman,joan.pullman@yahoo.com,Female,International Student,2006,Czech Republic,Czech Republic,Horn’ Mesto,Library Science Professor,LDS American Falls Stake,Bachelor
UW-Whitewater,Donna,Sutherland,donna.sutherland@yahoo.com,Female,International Student,2007,Czech Republic,Czech Republic,Hermanuv Mestec,Library Science Professor,Hillam Farms Shop,Bachelor
UW-Whitewater,Rebecca,Ball,rebecca.ball@yahoo.com,Female,International Student,2007,Spain,Spain,Pozuelo del Rey,VP of Spain ,Owner of the country ,Ph.D
UW-Whitewater,Claire,Lewis,claire.lewis@yahoo.com,Female,Visiting Student,2007,Italy,Italy,Picanello,Presedent of Italy,Bank Of Commerce,Ph.D
UW-Whitewater,Caroline,Bond,caroline.bond@yahoo.com,Female,Visiting Student,2000,Austria,Austria,HECHFELD,Nuclear Technicians,ACE Auto Sales,Ph.D
UW-Whitewater,Rachel,Wright,rachel.wright@yahoo.com,Female,Visiting Student,2001,Australia,Australia,HIGHGATE HILL,Numerical Tool Programmer,Orca Distributing Inc,Ph.D
